event_id,event_date,title,event_type,source_url,market_id,event_window_label,baseline_window_label,anomaly_type,tier,metric_name,event_window_days,observed_day_count,baseline_observations,max_observed_value,max_z_score,max_percentile_rank,anomaly_day_count,source_artifact,limitation,claim_scope
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_3_top_10pct,active_wallets,5,5,23,7.0,6.609109461103851,1.0,2,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_4_observed_baseline,active_wallets,5,5,23,11.0,2.2616924963152996,0.9565217391304348,2,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,market_move_anomaly,market,absolute_price_change,5,5,23,0.020000000000000018,1.86229773834424,0.9565217391304348,1,data/thesis.db:polymarket_prices,daily market price changes only,descriptive_historical_anomaly_diagnostic
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,top_tier_concentration_anomaly,all_tiers,tier_1_total_amount_share,5,5,23,0.8104636350001857,0.7237476227727945,0.6956521739130435,0,data/results/h3_tiered_wallet_activity_daily.csv,"concentration of observed tier activity, not wallet performance",descriptive_historical_anomaly_diagnostic
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_1_top_1pct,log1p_total_amount_usd,5,5,23,13.65186299001249,2.794491084063093,1.0,4,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_2_top_5pct,log1p_total_amount_usd,5,5,23,11.739618746610345,1.1006374983469813,0.9565217391304348,1,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_3_top_10pct,log1p_total_amount_usd,5,5,23,12.095762783148546,1.464874932726526,0.9565217391304348,2,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_06_28_biden_trump_debate,2024-06-28,Biden-Trump CNN presidential debate begins,debate,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_4_observed_baseline,log1p_total_amount_usd,5,5,23,12.13971670057131,0.6604903137241561,0.9130434782608695,0,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_1_top_1pct,active_wallets,5,5,23,5.0,2.259226764149077,1.0,1,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_2_top_5pct,active_wallets,5,5,23,3.0,0.7302967433402215,0.8695652173913043,0,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
