case_id,case_label,forecast_timestamp_utc,polymarket_observed_at_utc,polymarket_time_distance_seconds,polymarket_event_slug,polymarket_market_slug,polymarket_market_id,polymarket_condition_id,target_outcome,target_token_id,resolved_outcome,outcome_value,polymarket_probability,traditional_source,traditional_probability,polymarket_brier,traditional_brier,loss_advantage,lower_loss_source,forecast_source_url,polymarket_source_url,price_history_source_url,allowed_interpretation,limitation
us_2024_house_republican_control,2024 House control: Republicans,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,house-control-after-2024-election,house-control-after-2024-election,254600,0x1b43e21dc696e34154ba0d0a9b351264a86d773bf381ffd0eb5d2124ee783b33,Republican,52305181636507151858662345358653712096897417621314252379525645226272149566924,Republican,1.0,0.505,FiveThirtyEight final 2024 forecast,0.49,0.245025,0.2601,0.015075000000000005,polymarket,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/house-control-after-2024-election,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
us_2024_president_trump,2024 presidential election: Trump wins,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,presidential-election-winner-2024,will-donald-trump-win-the-2024-us-presidential-election,253591,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,Yes,21742633143463906290569050155826241533067272736897614950488156847949938836455,Yes,1.0,0.6275,FiveThirtyEight final 2024 forecast,0.4945,0.13875625000000005,0.25553025000000007,0.11677400000000002,polymarket,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/presidential-election-winner-2024,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
us_2024_senate_florida_republican,2024 Florida Senate: Republican wins,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,florida-us-senate-election-winner,will-a-republican-win-florida-us-senate-election,500657,0xc65fdad4b98c013eb3bdf964f36fa595f82d0fed3916ba2da6d4568355b167a8,Yes,55926150552484562169341870640526521554581065167202811388173432019647237918601,Yes,1.0,0.905,FiveThirtyEight final 2024 forecast,0.84,0.009024999999999995,0.02560000000000001,0.016575000000000017,polymarket,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/florida-us-senate-election-winner,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
us_2024_senate_montana_republican,2024 Montana Senate: Republican wins,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,montana-us-senate-election-winner,will-a-republican-win-montana-us-senate-election,500115,0x25e48d2f5c66a03982f233e67f8131159e884dc186e6a55cc2e413d07e74830c,Yes,57800711685354276344326210430879786786400487689801560680139758229715175464988,Yes,1.0,0.83,FiveThirtyEight final 2024 forecast,0.93,0.028900000000000012,0.004899999999999993,-0.02400000000000002,traditional_forecast,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/montana-us-senate-election-winner,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
us_2024_senate_ohio_republican,2024 Ohio Senate: Republican wins,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,ohio-us-senate-election-winner,will-a-republican-win-ohio-us-senate-election,500118,0x57dc89d2f5803961a1c72add5969c2887f9591821d05421f2819fa17b664dd59,Yes,3620306974437843745624106027075287847184755283592021115338359473870454935865,Yes,1.0,0.615,FiveThirtyEight final 2024 forecast,0.59,0.148225,0.16810000000000003,0.01987500000000003,polymarket,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/ohio-us-senate-election-winner,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
us_2024_senate_republican_control,2024 Senate control: Republicans,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,which-party-will-control-the-us-senate-after-the-2024-election,which-party-will-control-the-us-senate-after-the-2024-election,252298,0xda60399dab4f9cb4dc21b8a7e46fc3e9a141e8da6a238258fff293a16eee7ce3,Republicans,319656142554520322046468635715157364847293348955869922456580477215496475882,Republicans,1.0,0.815,FiveThirtyEight final 2024 forecast,0.92,0.03422500000000002,0.006399999999999993,-0.027825000000000027,traditional_forecast,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/which-party-will-control-the-us-senate-after-the-2024-election,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
us_2024_senate_texas_republican,2024 Texas Senate: Republican wins,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,texas-us-senate-election-winner,will-a-republican-win-texas-us-senate-election,500619,0x9f41292bea56c1a5671306d4285d1912af1a23e62bae6e58e6c0dc517cc98d46,Yes,75616002261136116956781367343618913629713439405420843305033610719843074106916,Yes,1.0,0.85,FiveThirtyEight final 2024 forecast,0.84,0.022500000000000006,0.02560000000000001,0.0031000000000000055,polymarket,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/texas-us-senate-election-winner,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
us_2024_senate_west_virginia_republican,2024 West Virginia Senate: Republican wins,2024-11-05T11:00:00Z,2024-11-05T11:00:02Z,2,west-virginia-us-senate-election-winner,will-a-republican-win-west-virginia-us-senate-election,500705,0x7a3d5478aa01ab2dca4b6321463fe776d462c289194cf5a66ee5cd73f53a09ca,Yes,103446665137640297160315965220908871627631005048730924428916129632763222353791,Yes,1.0,0.981,FiveThirtyEight final 2024 forecast,0.999,0.00036100000000000064,1.0000000000000019e-06,-0.0003600000000000006,traditional_forecast,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/west-virginia-us-senate-election-winner,https://clob.polymarket.com/prices-history,Final-snapshot Brier comparison for one resolved 2024 election outcome using the selected target probability.,"Small curated final-snapshot extension; not a daily time series, not raw polls, and not enough cases for a broad many-markets claim."
