scope_id,state,row_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage,aggregate_mean_supports_polymarket,majority_rows_support_polymarket
late_non_safe_distance,Arizona,37,36,1,0,0.972972972972973,0.1964229729729729,0.27927462669012704,0.08285165371715404,True,True
late_non_safe_distance,Florida,31,21,10,0,0.6774193548387096,0.027410483870967735,0.0341256954291615,0.006715211558193784,True,True
late_non_safe_distance,Georgia,37,32,5,0,0.8648648648648649,0.17729189189189185,0.23249233779966616,0.05520044590777422,True,True
late_non_safe_distance,Michigan,37,37,0,0,1.0,0.3727297297297297,0.5001433396863701,0.12741360995664042,True,True
late_non_safe_distance,Nevada,34,27,7,0,0.7941176470588235,0.2402941176470587,0.28866256035108195,0.048368442704023185,True,True
late_non_safe_distance,North Carolina,32,32,0,0,1.0,0.15630468749999998,0.22753189855096131,0.0712272110509613,True,True
late_non_safe_distance,Pennsylvania,37,37,0,0,1.0,0.25738648648648643,0.3692757633175612,0.11188927683107465,True,True
late_non_safe_distance,Texas,3,3,0,0,1.0,0.017016666666666635,0.0300035441955712,0.012986877528904534,True,True
late_non_safe_distance,Wisconsin,37,37,0,0,1.0,0.3215385135135134,0.5498990004191333,0.22836048690561989,True,True
late_high_distance,California,10,0,10,0,0.0,0.0005039999999999899,5.1885353588959826e-14,-0.00050399999994807,False,False
late_high_distance,Minnesota,25,0,25,0,0.0,0.005278999999999999,0.002332097711867504,-0.002946902288132396,False,False
late_high_distance,New Hampshire,23,0,23,0,0.0,0.03349782608695652,0.0053119904938169,-0.028185835593139533,False,False
late_high_distance,Ohio,4,0,4,0,0.0,0.0070312499999999,0.00095339631937115,-0.006077853680628725,False,False
late_high_distance,Texas,10,0,10,0,0.0,0.0184775,0.01031597755300442,-0.00816152244699549,False,False
