date,tier,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
2024-01-17,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-17,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-18,tier_1_top_1pct,8,1,193682.754587,193682.754587,0.0,193682.754587
2024-01-18,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-18,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-18,tier_4_observed_baseline,2,2,32120.0,32120.0,0.0,32120.0
2024-01-19,tier_1_top_1pct,3,1,72801.78208,72801.78208,0.0,72801.78208
2024-01-19,tier_2_top_5pct,3,2,75390.09,75390.09,0.0,75390.09
2024-01-19,tier_3_top_10pct,1,1,11099.889,11099.889,0.0,11099.889
2024-01-19,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-20,tier_1_top_1pct,6,2,100151.376984,100151.376984,0.0,100151.376984
2024-01-20,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-20,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-20,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-21,tier_1_top_1pct,3,1,48057.43669,48057.43669,0.0,48057.43669
2024-01-21,tier_2_top_5pct,2,2,27031.512300000002,27031.512300000002,0.0,27031.512300000002
2024-01-21,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-21,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-22,tier_1_top_1pct,21,2,1064223.792479,1064223.792479,0.0,1064223.792479
2024-01-22,tier_2_top_5pct,2,2,81701.8,81701.8,0.0,81701.8
2024-01-22,tier_3_top_10pct,1,1,14276.952,14276.952,0.0,14276.952
2024-01-22,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-23,tier_1_top_1pct,7,2,127040.382405,127040.382405,0.0,127040.382405
2024-01-23,tier_2_top_5pct,3,3,85652.067585,85652.067585,0.0,85652.067585
2024-01-23,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-23,tier_4_observed_baseline,10,7,239834.910848,239834.910848,0.0,239834.910848
2024-01-24,tier_1_top_1pct,14,2,354148.10443,354148.10443,0.0,354148.10443
2024-01-24,tier_2_top_5pct,7,3,104319.46668,104319.46668,0.0,104319.46668
2024-01-24,tier_3_top_10pct,1,1,15577.545,15577.545,0.0,15577.545
2024-01-24,tier_4_observed_baseline,1,1,11988.0,11988.0,0.0,11988.0
2024-01-25,tier_1_top_1pct,3,1,38494.081177,38494.081177,0.0,38494.081177
2024-01-25,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-25,tier_3_top_10pct,3,1,51265.798800000004,51265.798800000004,0.0,51265.798800000004
2024-01-25,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-26,tier_1_top_1pct,2,2,26084.889,26084.889,0.0,26084.889
2024-01-26,tier_2_top_5pct,2,1,32330.0,32330.0,0.0,32330.0
2024-01-26,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-26,tier_4_observed_baseline,2,2,39157.735717999996,39157.735717999996,0.0,39157.735717999996
2024-01-27,tier_1_top_1pct,6,2,194144.44782,194144.44782,0.0,194144.44782
2024-01-27,tier_2_top_5pct,4,1,57346.01,57346.01,0.0,57346.01
2024-01-27,tier_3_top_10pct,1,1,11668.0189,11668.0189,0.0,11668.0189
2024-01-27,tier_4_observed_baseline,2,2,43465.165747,43465.165747,0.0,43465.165747
2024-01-28,tier_1_top_1pct,1,1,27500.0,27500.0,0.0,27500.0
2024-01-28,tier_2_top_5pct,1,1,12564.3,12564.3,0.0,12564.3
2024-01-28,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-28,tier_4_observed_baseline,2,2,41706.042999,41706.042999,0.0,41706.042999
2024-01-29,tier_1_top_1pct,6,1,119090.058987,119090.058987,0.0,119090.058987
2024-01-29,tier_2_top_5pct,1,1,24900.0,24900.0,0.0,24900.0
