observed_at_utc,poll_id,poll_published_at_utc,window_start_utc,window_end_utc,token_id,yes_probability,source_name,source_url
2026-04-28T23:00:13Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.335,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T00:00:10Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T01:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T02:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.335,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T03:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.335,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T04:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.335,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T05:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.355,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T06:00:09Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.395,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T07:00:21Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T08:00:04Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T09:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T10:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.395,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T11:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.39,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T12:00:11Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.39,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
