comparison_id,case_set_label,comparator_label,case_count,polymarket_lower_loss_count,comparator_lower_loss_count,tie_count,polymarket_lower_loss_share,mean_polymarket_brier,mean_comparator_brier,mean_loss_advantage,aggregate_mean_supports_polymarket,majority_cases_supports_polymarket,broad_many_cases_claim_supported,limitation
state_final_pm_vs_rieke,50 state outcomes,Rieke poll-model forecast,50,12,38,0,0.24,0.026207745000000005,0.02958078719999998,0.0033730421999999746,True,False,False,State outcomes share one election context; Rieke is an independent poll-based forecast model.
state_final_pm_vs_270towin,50 state outcomes,270toWin/JHK forecast,50,9,40,1,0.18,0.026207745000000005,0.03059891999999999,0.004391174999999987,True,False,False,Includes censored safe-state boundary probabilities from the source.
state_exact_pm_vs_270towin,22 exact-probability state outcomes,270toWin/JHK exact probabilities,22,9,12,1,0.4090909090909091,0.059292840909090906,0.06954172727272727,0.010248886363636363,True,False,False,Only the 270toWin/JHK states with exact displayed probabilities are included.
state_poll_pm_vs_538_transform,13 state outcomes,538 poll-derived probability,13,8,5,0,0.6153846153846154,0.13355132692307695,0.1763590687513211,0.04280774182824415,True,True,False,"Poll-derived probabilities are a documented transformation of polling-average margins, not raw poll shares."
final_snapshot_pm_vs_538,8 final-snapshot outcomes,FiveThirtyEight final forecast,8,5,3,0,0.625,0.07837715625000001,0.09327890625000002,0.014901750000000005,True,True,False,Small curated final-snapshot extension.
