event_candidate_id,detected_at_utc,published_at_utc,title,source_url,event_type,related_market_ids,expected_effect,review_status,review_notes
evt_2024_05_30_trump_conviction,2024-05-30T21:05:00Z,2024-05-30T21:05:00Z,Trump convicted in New York hush-money trial,https://www.cnbc.com/2024/05/30/trump-trial-verdict-hush-money.html,legal,polymarket_2024_us_presidential_replay,trump_down,accepted,curated_seed_event_used_for_historical_replay
evt_2024_06_28_biden_trump_debate,2024-06-28T01:00:00Z,2024-06-28T01:00:00Z,Biden-Trump CNN presidential debate begins,https://cnnpressroom.blogs.cnn.com/2024/05/15/cnn-to-host-2024-election-presidential-debate-between-president-joe-biden-and-former-president-donald-j-trump-on-june-27/,debate,polymarket_2024_us_presidential_replay,neutral,accepted,curated_seed_event_used_for_historical_replay
evt_2024_07_13_trump_shooting,2024-07-13T22:11:00Z,2024-07-13T22:11:00Z,Trump injured in Butler rally shooting,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,major_news,polymarket_2024_us_presidential_replay,trump_up,accepted,curated_seed_event_used_for_historical_replay
evt_2024_07_15_vance_vp_pick,2024-07-15T19:09:00Z,2024-07-15T19:09:00Z,Trump selects JD Vance as running mate,https://www.axios.com/2024/07/15/trump-jd-vance-vice-president,candidate_change,polymarket_2024_us_presidential_replay,neutral,accepted,curated_seed_event_used_for_historical_replay
evt_2024_07_21_biden_withdrawal,2024-07-21T17:46:00Z,2024-07-21T17:46:00Z,Biden withdraws and backs Harris,https://www.axios.com/2024/07/22/biden-social-media-post-drop-out,candidate_change,polymarket_2024_us_presidential_replay,harris_up,accepted,curated_seed_event_used_for_historical_replay
evt_2024_08_06_walz_vp_pick,2024-08-06T14:07:00Z,2024-08-06T14:07:00Z,Harris selects Tim Walz as running mate,https://www.upi.com/Top_News/US/2024/08/06/kamala-harris-vice-president-tim-walz/3061722952420/,candidate_change,polymarket_2024_us_presidential_replay,neutral,accepted,curated_seed_event_used_for_historical_replay
evt_2024_09_11_harris_trump_debate,2024-09-11T01:00:00Z,2024-09-11T01:00:00Z,Harris-Trump ABC presidential debate begins,https://www.cbsnews.com/news/trump-harris-debate-rules-2024/,debate,polymarket_2024_us_presidential_replay,neutral,accepted,curated_seed_event_used_for_historical_replay
