timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,baseline_window,baseline_observations,rolling_median,rolling_mad,robust_z,rolling_percentile_rank,severity,status,event_candidate_id,event_review_status,evidence_refs,limitation,review_status,claim_scope
2024-01-26T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.2673381911718514,last_30_completed_observations,20,0.5131991724766753,0.2504959749404825,-0.6620104775949109,0.15,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-27T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6331685523594108,last_30_completed_observations,21,0.486757035192599,0.24189311783493356,0.4082514471426677,0.5714285714285714,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-28T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.336307749135115,last_30_completed_observations,22,0.5131991724766753,0.2391624511965332,-0.4988727531333917,0.36363636363636365,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-29T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7671348475651685,last_30_completed_observations,23,0.486757035192599,0.21941884402074757,0.8618778594498421,0.6956521739130435,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-30T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8827308737548742,last_30_completed_observations,24,0.5131991724766753,0.2391624511965332,1.0421607430381765,0.875,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-31T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7407229374995244,last_30_completed_observations,25,0.5396413097607516,0.2589060583723188,0.5238490773949986,0.64,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-01T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.9379282441143333,last_30_completed_observations,26,0.5864049310600812,0.254049105339905,0.9332810917734371,0.9615384615384616,info,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-02T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8210449597708254,last_30_completed_observations,27,0.6331685523594108,0.24956232139546342,0.5077725676459538,0.7407407407407407,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-03T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6855196122336422,last_30_completed_observations,28,0.6365876677333684,0.23365374752008888,0.14125236491581927,0.5357142857142857,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-04T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,1.0,last_30_completed_observations,29,0.6400067831073261,0.21774517364471424,1.115120460325558,1.0,watch,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-05T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6015201836730509,last_30_completed_observations,30,0.6627631976704842,0.22693733611090483,-0.18202314229852978,0.43333333333333335,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-06T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.3672923766948845,last_30_completed_observations,30,0.6627631976704842,0.21284833848388848,-0.936311459429554,0.26666666666666666,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-07T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.5850275836185089,last_30_completed_observations,30,0.6627631976704842,0.22693733611090483,-0.23104154767496107,0.4,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-08T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.5884729079764173,last_30_completed_observations,30,0.6627631976704842,0.21284833848388848,-0.2354169841042964,0.4,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-09T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7437420163453079,last_30_completed_observations,30,0.6627631976704842,0.2003588799824715,0.2726081564953734,0.6,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-10T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.5039983501472296,last_30_completed_observations,30,0.7070848826305873,0.15905532349564433,-0.8612097132223262,0.26666666666666666,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-11T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.38838866591639426,last_30_completed_observations,30,0.6627631976704842,0.1692088549497902,-1.0936962274153181,0.2,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-12T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.753677137230623,last_30_completed_observations,30,0.6627631976704842,0.1692088549497902,0.36239599966043823,0.6333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-13T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,1.0,last_30_completed_observations,30,0.7070848826305873,0.14299912576883783,1.3816066281135617,1.0,info,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-14T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6374080016478931,last_30_completed_observations,30,0.7070848826305873,0.15905532349564433,-0.29547211208724317,0.43333333333333335,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-15T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.18186711195977148,last_30_completed_observations,30,0.7070848826305873,0.14299912576883783,-2.477319571890428,0.0,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-16T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.56170159717817,last_30_completed_observations,30,0.6627631976704842,0.18732081072894097,-0.36389504937931466,0.3,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-17T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.575304670613558,last_30_completed_observations,30,0.6387073923776097,0.18200538149186404,-0.23496310716191726,0.3333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-18T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,1.0,last_30_completed_observations,30,0.635288277003652,0.1550503253890356,1.586547376902312,1.0,info,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-19T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7599023363829224,last_30_completed_observations,30,0.6387073923776097,0.15852330481179788,0.5156646836496123,0.7,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-20T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.2567819816321677,last_30_completed_observations,30,0.6387073923776097,0.13156824870896944,-1.9579584199446893,0.03333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-21T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.30480245058699745,last_30_completed_observations,30,0.635288277003652,0.15880162666434494,-1.403698694643589,0.13333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-22T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.5050893369704788,last_30_completed_observations,30,0.6173443680162309,0.16913932301605195,-0.44764859995290707,0.3333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-23T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.42657019825467635,last_30_completed_observations,30,0.6173443680162309,0.1461742239578145,-0.8802879958379205,0.23333333333333334,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-24T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8779927003018207,last_30_completed_observations,30,0.5949965458247342,0.1672833459308637,1.1410477839264037,0.8333333333333334,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-25T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7411322215437159,last_30_completed_observations,30,0.6173443680162309,0.17028232465524606,0.490325484507993,0.6333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-26T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7984199975499404,last_30_completed_observations,30,0.635288277003652,0.13156824870896944,0.836302369041784,0.7666666666666667,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-27T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.9341573653967118,last_30_completed_observations,30,0.6614638069407677,0.1569199633819135,1.172121643309819,0.8666666666666667,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-28T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8987706032287849,last_30_completed_observations,30,0.7131212748665834,0.15814555156182536,0.7917943644111174,0.8333333333333334,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-02-29T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.5205370122462731,last_30_completed_observations,30,0.7131212748665834,0.1672405121617641,-0.7767035862241941,0.26666666666666666,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-01T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7158466711445048,last_30_completed_observations,30,0.6614638069407677,0.1569199633819135,0.2337544477372662,0.5333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-02T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8642699260757087,last_30_completed_observations,30,0.6614638069407677,0.1569199633819135,0.8717237142663881,0.7666666666666667,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-03T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6004137566384441,last_30_completed_observations,30,0.6614638069407677,0.1569199633819135,-0.26241208516140074,0.43333333333333335,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-04T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.4654259288572613,last_30_completed_observations,30,0.619464092660472,0.13732564414630072,-0.7565762297194841,0.2,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-05T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.595959933732686,last_30_completed_observations,30,0.6009669701557475,0.15582276665102518,-0.02167333998940739,0.4666666666666667,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-06T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7317349827806109,last_30_completed_observations,30,0.598186845185565,0.15052273160240048,0.5984277842572108,0.6333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-07T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8319834054805726,last_30_completed_observations,30,0.598186845185565,0.15052273160240048,1.0476399002174395,0.8,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-08T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6834229680227181,last_30_completed_observations,30,0.6189108791431686,0.13787885766360414,0.31558723767462016,0.5333333333333333,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
