event_id,event_date,proximity_date,relative_day,timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,robust_z,rolling_percentile_rank,severity,status,same_day_context,proximity_window,market_watch_at_timestamp,wallet_or_concentration_watch_at_timestamp,proximity_critical_candidate,event_watch_candidate,suggested_context_label,claim_scope
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,2024-05-30T00:00:00Z,polymarket_2024_us_presidential_replay,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,11.739792548294837,-0.3158702273515104,0.2666666666666666,none,ok,True,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,2024-05-30T00:00:00Z,polymarket_2024_us_presidential_replay,tier_2_top_5pct,wallet_tier_activity,log1p_total_observed_amount_usd,10.722513130929604,0.7088775485948098,0.9,info,ok,True,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,2024-05-30T00:00:00Z,polymarket_2024_us_presidential_replay,tier_3_top_10pct,wallet_tier_activity,log1p_total_observed_amount_usd,9.900533192709691,,0.7333333333333333,none,zero_mad,True,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,2024-05-30T00:00:00Z,polymarket_2024_us_presidential_replay,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,10.48228886423324,0.2671979063727432,0.5666666666666667,none,ok,True,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_1_top_1pct,active_wallet_activity,active_wallets,2.0,0.0,0.7666666666666667,none,ok,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_2_top_5pct,active_wallet_activity,active_wallets,0.0,,0.3666666666666666,none,zero_mad,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_3_top_10pct,active_wallet_activity,active_wallets,1.0,,0.8666666666666667,none,zero_mad,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_4_observed_baseline,active_wallet_activity,active_wallets,1.0,-0.6744907594765952,0.4333333333333333,none,ok,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7036986832030939,-0.1159875139820841,0.4666666666666667,none,ok,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,market,market_move,absolute_price_change,0.0299999999999999,3.372453797382961,0.9666666666666668,high,ok,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
