source_name,poll_id,poll_published_at_utc,poll_age_hours,polymarket_snapshot_at_utc,polymarket_yes_probability,poll_yes_share,poll_yes_decided_share,raw_yes_gap,decided_yes_gap,divergence_label,poll_proxy_valuation_label,valuation_scope
SRG/gfs.bern,srg_gfs_bern_2026_w2,2026-06-03T03:55:00Z,203.81,2026-06-11T15:43:35Z,0.23,0.45,0.4639175257731959,-0.22,-0.23391752577319588,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_latest_source_poll_proxy_not_true_mispricing_or_trade_signal
Tamedia/20 Minuten/LeeWas,tamedia_leewas_2026_w2,2026-06-03T00:00:00Z,207.726,2026-06-11T15:43:35Z,0.23,0.47,0.47474747474747475,-0.23999999999999996,-0.24474747474747474,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_latest_source_poll_proxy_not_true_mispricing_or_trade_signal
YouGov Schweiz,yougov_2026_w2_final,2026-06-02T00:00:00Z,231.726,2026-06-11T15:43:35Z,0.23,0.38,0.4086021505376344,-0.15,-0.17860215053763437,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_latest_source_poll_proxy_not_true_mispricing_or_trade_signal
