source_id,source_label,row_count,state_count,positive_rate,mean_forecast_probability,mean_brier_loss,brier_skill_vs_50_percent,nonempty_bin_count,expected_calibration_error,root_mean_square_calibration_error,max_absolute_calibration_gap,mean_probability_positive_outcomes,mean_probability_negative_outcomes,probability_separation,calibration_scope,limitation
poll_derived,538 poll-derived,357,13,0.8375350140056023,0.41417572612250503,0.252047770571979,-0.008191082287916096,5,0.439123917401707,0.4995326725132157,0.6967051352575452,0.48510618012261697,0.04851700636330781,0.43658917375930917,fixed_20_point_bins_within_90_days,Calibration bins are repeated state-date forecasts inside one election context.
polymarket,Polymarket,357,13,0.8375350140056023,0.4891288515406163,0.179920350140056,0.280318599439776,5,0.37974509803921574,0.41495363499828686,0.5437096774193548,0.5632107023411371,0.10722413793103448,0.45598656441010266,fixed_20_point_bins_within_90_days,Calibration bins are repeated state-date forecasts inside one election context.
